,id,author_id,text,created_at
64,1511024506432856077,3015110439,"So Jim Carey thinks #WillSmith is selfish.  I guess it takes one to know one......
https://t.co/0IVi9LCXmS",2022-04-04T16:54:50.000Z
65,1511024451181236234,1253132880684990467,Thank you for this thought-provoking article.   As for the number of hits on #WillSmith versus #America's historic #trillion dollar Infrastructure #Bill? Wow!...... https://t.co/fpyzVtKrtc #writingcommunity #amwriting #enlightenment #spiritual,2022-04-04T16:54:37.000Z
66,1511024305387278338,1382292481581096970,"Willow, the daughter of Will Smith and Jada Pinkett had written a letter to Tupac asking him to resurrect to make her mother happy #willsmith #chrisrock #jadasmith #pinkett #comedy #comedian #tupac https://t.co/vuE3NwYSn1",2022-04-04T16:54:02.000Z
67,1511024295169908740,1403217632979939329,"Willow, the daughter of Will Smith and Jada Pinkett had written a letter to Tupac asking him to resurrect to make her mother happy #willsmith #chrisrock #jadasmith #pinkett #comedy #comedian #tupac https://t.co/1KsfmSAX9E",2022-04-04T16:54:00.000Z
68,1511024283149033480,802962917956014080,"Willow, the daughter of Will Smith and Jada Pinkett had written a letter to Tupac asking him to resurrect to make her mother happy #willsmith #chrisrock #jadasmith #pinkett #comedy #comedian #tupac https://t.co/B14JNLTzV0",2022-04-04T16:53:57.000Z
69,1511024181940559874,1441352391442542592,#Netflix and #Sony pause upcoming projects starring #WillSmith after he slapped @chrisrock at the #Oscars. Sorry but in #europe we'll #boycottNetflix #boycottSony https://t.co/T2m3FaKgbk,2022-04-04T16:53:33.000Z
70,1511024087807713286,1435713958707597313,"#Comedian Chris Rock, backstage at the #Oscars, watches Sean ""Diddy"" Combs on a monitor on Sunday, March 27. This was after Rock was slapped on stage by actor #WillSmith. 
Robert Gauthier/Los Angeles Times/Getty Images
source: 
https://t.co/ecBTIv8BjZ https://t.co/VB1WXuQhpp",2022-04-04T16:53:10.000Z
71,1511023791606054916,1472765569,"Don’t fight, make music #Oscars #WillSmith #ChrisRock #saxophonist #bass 🎶 https://t.co/rphHth7T4D",2022-04-04T16:52:00.000Z
72,1511023740972376065,21547488,#TheNooner #WillSmith learned from the best! https://t.co/W3YGpVx2OY #HUMOR #COMICS #FUNNY 🖕🏾ALL #antivaxxers &amp; #antimaskers! 👍🏾 #Oscars #Slap #JoanCollins #GetVaccinated #WearAMask #BlackLivesMatter #CartoonistsWhoResist,2022-04-04T16:51:47.000Z
73,1511023025856126980,532734328,We let #ChrisRock insult people about their illness like laughing about people's death so september 11th was as funny? #WillSmith #Oscars2022 #Oscars #wecantlaughabouteverything,2022-04-04T16:48:57.000Z
74,1511022919635320842,3015110439,"BIG WILLIE STYLE... #WillSmith 
https://t.co/XEmSjGoIxW",2022-04-04T16:48:32.000Z
